City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,-4.07,73,18,3.63,IS,1737586526
1,port-aux-francais,-49.35,70.2167,5.1,78,68,15.74,TF,1737586527
2,edinburgh of the seven seas,-37.0676,-12.3116,17.12,85,82,1.32,SH,1737586528
3,princeville,45.7668,-61.2985,-10.38,79,100,5.66,CA,1737586529
4,bengkulu,-3.8004,102.2655,24.56,85,98,1.8,ID,1737586530
5,punta arenas,-53.15,-70.9167,17.06,67,75,2.57,CL,1737586532
6,grytviken,-54.2811,-36.5092,1.01,72,20,5.36,GS,1737586533
7,ust-nera,64.5667,143.2,-33.83,100,99,1.01,RU,1737586534
8,macau,22.2006,113.5461,16.85,100,40,2.06,MO,1737586535
9,chonchi,-42.6128,-73.8092,12.87,99,100,2.18,CL,1737586536
10,puerto ayora,-0.7393,-90.3518,25.31,91,75,0.89,EC,1737586537
11,waitangi,-43.9535,-176.5597,16.57,96,100,5.36,NZ,1737586538
12,port elizabeth,-33.918,25.5701,21.84,99,20,5.66,ZA,1737586539
13,bayanhongor,46.7167,100.1167,-21.11,74,3,1.93,MN,1737586540
14,albany,42.6001,-73.9662,-10.31,59,61,0.86,US,1737586541
15,adamstown,-25.066,-130.1015,25.02,79,9,3.57,PN,1737586542
16,buka,40.8108,69.1986,-1.96,71,100,3.26,UZ,1737586543
17,la passe,45.5549,-0.8967,9.2,90,100,5.05,FR,1737586545
18,uturoa,-16.7333,-151.4333,27.47,78,37,6.79,PF,1737586546
19,georgetown,5.4112,100.3354,25.96,98,20,1.54,MY,1737586547
20,alice springs,-23.7,133.8833,32.75,15,1,1.03,AU,1737586420
21,iqaluit,63.7506,-68.5145,-14.15,71,100,6.17,CA,1737586549
22,cabedelo,-6.9811,-34.8339,28.37,60,67,4.76,BR,1737586550
23,wailua homesteads,22.0669,-159.378,22.85,69,0,7.2,US,1737586551
24,gaiman,-43.2897,-65.4929,25.11,40,72,12.52,AR,1737586552
25,kodiak,57.79,-152.4072,4.73,65,0,5.66,US,1737586553
26,laminusa,5.5549,120.9136,26.9,84,100,3.93,PH,1737586554
27,nar'yan-mar,67.6713,53.087,-19.88,96,97,4.22,RU,1737586555
28,yaren,-0.5472,166.916,27.05,72,51,7.61,NR,1737586556
29,alotau,-10.3069,150.4462,27.66,87,100,1.07,PG,1737586557
30,lagos,6.5833,3.75,25.38,93,98,0.72,NG,1737586558
31,remire-montjoly,4.9167,-52.2667,24.02,94,0,1.03,GF,1737586559
32,nong chik,6.8436,101.178,23.71,86,100,3.25,TH,1737586413
33,port mathurin,-19.6833,63.4167,25.49,80,20,4.46,MU,1737586561
34,puerto natales,-51.7236,-72.4875,20.25,42,75,10.29,CL,1737586562
35,ushuaia,-54.8,-68.3,14.81,67,40,6.69,AR,1737586563
36,cockburn town,21.4612,-71.1419,25.59,86,10,7.0,TC,1737586564
37,bethel,41.3712,-73.414,-8.95,47,0,0.89,US,1737586565
38,el maamoura,36.465,10.8061,15.03,66,100,2.11,TN,1737586566
39,kintampo,8.0563,-1.7306,28.68,18,5,0.71,GH,1737586567
40,belmonte,-15.8631,-38.8828,26.12,85,0,3.78,BR,1737586568
41,beira,-19.8436,34.8389,26.05,73,100,4.12,MZ,1737586570
42,badger,64.8,-147.5333,-9.44,90,75,0.0,US,1737586571
43,bulalacao,12.3254,121.3435,25.8,83,48,7.38,PH,1737586572
44,bredasdorp,-34.5322,20.0403,21.27,91,100,0.96,ZA,1737586573
45,flying fish cove,-10.4217,105.6791,23.82,100,75,2.06,CX,1737586574
46,college,64.8569,-147.8028,-9.39,88,75,0.0,US,1737586575
47,mar del plata,-38.0023,-57.5575,21.01,71,0,4.63,AR,1737586286
48,dalhart,36.0595,-102.5133,3.01,28,0,10.29,US,1737586577
49,alofi,-19.0595,-169.9187,29.94,74,75,3.09,NU,1737586578
50,togur,58.3631,82.8265,-20.4,90,100,8.04,RU,1737586579
51,udachny,66.4167,112.4,-20.31,98,100,1.5,RU,1737586580
52,luderitz,-26.6481,15.1594,17.42,91,16,2.54,NA,1737586581
53,hawaiian paradise park,19.5933,-154.9731,27.15,63,40,4.12,US,1737586582
54,thompson,55.7435,-97.8558,-20.91,59,40,3.09,CA,1737586583
55,nouadhibou,20.931,-17.0347,18.99,88,13,3.09,MR,1737586584
56,pariyapuram,10.9561,76.1916,21.22,84,55,0.39,IN,1737586585
57,gisborne,-38.6533,178.0042,20.18,69,37,3.31,NZ,1737586586
58,yunak,38.8142,31.7322,1.1,92,83,1.61,TR,1737586587
59,ribeira grande,38.5167,-28.7,13.22,76,20,3.09,PT,1737586588
60,vadso,70.0744,29.7487,-11.91,79,75,5.14,NO,1737586589
61,port pirie,-33.1833,138.0167,23.77,46,99,2.98,AU,1737586590
62,hoemul-li,41.4339,129.67,-5.11,75,66,2.0,KP,1737586591
63,kosonsoy,41.2561,71.5508,-3.07,93,100,2.34,UZ,1737586594
64,egilsstadir,65.2653,-14.3948,-6.05,79,33,5.14,IS,1737586595
65,melfi,40.9965,15.6514,4.94,83,39,2.79,IT,1737586596
66,vorgashor,67.5833,63.95,-30.15,99,100,4.08,RU,1737586597
67,trat,12.5,102.5,18.33,79,100,1.12,TH,1737586598
68,taoudenni,22.6783,-3.9836,21.24,11,68,2.57,ML,1737586599
69,severo-yeniseyskiy,60.3725,93.0408,-12.43,87,91,7.46,RU,1737586600
70,nova sintra,14.8667,-24.7167,22.22,71,50,11.51,CV,1737586601
71,kasserine,35.1676,8.8365,10.43,45,56,4.08,TN,1737586602
72,cedeira,43.6797,-8.0209,11.1,77,67,5.89,ES,1737586603
73,shakawe,-18.3667,21.85,19.34,95,100,1.72,BW,1737586604
74,polyarnyy,69.1989,33.4478,-13.09,94,95,3.3,RU,1737586605
75,filingue,14.3521,3.3168,23.64,19,2,4.76,NE,1737586606
76,susuman,62.7833,148.1667,-44.91,100,89,0.06,RU,1737586608
77,kristiansund,63.1115,7.732,1.18,93,100,3.09,NO,1737586609
78,bonab,37.3404,46.0561,-0.01,61,100,1.72,IR,1737586610
79,waat,51.1454,6.4958,5.43,96,100,2.06,DE,1737586611
80,papatowai,-46.5619,169.4708,12.34,97,100,7.29,NZ,1737586612
81,slave lake,55.2834,-114.769,-5.01,80,0,1.03,CA,1737586613
82,charters towers,-20.1,146.2667,29.79,57,89,3.95,AU,1737586615
83,la'ie,21.6477,-157.9253,23.98,72,100,6.98,US,1737586616
84,jean-rabel,19.8533,-73.1917,25.39,72,21,2.61,HT,1737586617
85,ta`u,-14.2336,-169.5144,28.17,78,11,7.07,AS,1737586618
86,ancud,-41.8697,-73.8203,13.27,96,100,7.44,CL,1737586619
